timestamp,elapsed_seconds,route_pending_keys
1780759940,1,3195
1780759943,4,3195
1780759946,7,2171
1780759949,10,2171
1780759952,13,2171
1780759956,17,2171
1780759959,20,2171
1780759962,23,2171
1780759965,26,2171
1780759969,30,2171
1780759972,33,2171
1780759975,36,2171
1780759978,39,1147
1780759981,42,1147
1780759984,45,1147
1780759987,48,1147
1780759990,51,1147
1780759993,54,123
1780759996,57,123
1780759999,60,123
1780760002,63,123
1780760005,66,123
1780760009,70,123
1780760012,73,123
1780760015,76,123
1780760018,79,123
1780760022,83,0
