timestamp,elapsed_seconds,route_pending_keys
1780760920,0,16059
1780760922,2,15035
1780760924,4,14011
1780760926,6,12987
1780760929,9,12987
1780760931,11,12987
1780760933,13,11963
1780760935,15,10939
1780760938,18,10939
1780760940,20,9915
1780760942,22,8891
1780760944,24,7867
1780760946,26,7867
1780760949,29,6843
1780760951,31,6843
1780760953,33,5819
1780760955,35,4795
1780760958,38,4795
1780760960,40,4795
1780760962,42,3771
1780760964,44,2747
1780760967,47,2747
1780760969,49,2747
1780760971,51,1723
1780760973,53,699
1780760976,56,699
1780760978,58,699
1780760980,60,0
