timestamp,elapsed_seconds,route_pending_keys
1780761214,0,28976
1780761216,2,27952
1780761218,4,27952
1780761220,6,26928
1780761222,8,26928
1780761225,11,25904
1780761227,13,24880
1780761229,15,24880
1780761231,17,24880
1780761234,20,23856
1780761236,22,23856
1780761238,24,22832
1780761240,26,21808
1780761242,28,21808
1780761245,31,20784
1780761247,33,19760
1780761249,35,18736
1780761251,37,17712
1780761253,39,16688
1780761255,41,15664
1780761257,43,14640
1780761260,46,13616
1780761262,48,11568
1780761264,50,9520
1780761266,52,6448
1780761268,54,0
