timestamp,appl_db_keys,route_pending_keys
1780760906,179,0
1780760908,3313,651
1780760909,5516,668
1780760911,8728,988
1780760913,13238,3629
1780760914,16868,5932
1780760916,21365,9530
1780760918,25920,13030
1780760919,29623,15595
1780760921,30182,16059
1780760922,30182,15035
1780760924,30182,14011
1780760925,30180,14011
1780760927,30182,12987
1780760928,30182,12987
1780760930,30182,12987
1780760931,30182,12987
1780760933,30182,11963
1780760934,30182,11963
1780760936,30182,10939
1780760937,30182,10939
1780760939,30182,9915
1780760940,30180,9915
1780760941,30182,8891
1780760943,30182,8891
1780760944,30182,7867
1780760945,30180,7867
1780760947,30182,6843
1780760948,30182,6843
1780760949,30182,6843
1780760951,30180,6843
1780760952,30180,5819
1780760954,30182,5819
1780760955,30182,5819
1780760956,30182,4795
1780760957,30182,4795
1780760959,30182,4795
1780760960,30182,3771
1780760961,30182,3771
1780760963,30182,3771
1780760964,30182,2747
1780760966,30182,2747
1780760967,30182,2747
1780760969,30182,2747
1780760970,30182,1723
1780760972,30180,1723
1780760973,30182,699
1780760975,30182,699
1780760976,30180,699
1780760978,30180,699
1780760979,30182,699
1780760981,30181,0
1780760982,30179,0
1780760984,30181,0
1780760985,30181,0
1780760986,30181,0
1780760988,30181,0
1780760989,30181,0
1780760991,30181,0
1780760992,30181,0
1780760994,30181,0
1780760995,30181,0
1780760997,30181,0
1780760998,30181,0
1780761000,30181,0
1780761001,30181,0
1780761002,30179,0
1780761004,30179,0
1780761005,30181,0
1780761007,30181,0
1780761008,30181,0
1780761010,30181,0
1780761011,30181,0
1780761013,30181,0
1780761014,30179,0
1780761015,30181,0
1780761017,30181,0
1780761018,30181,0
1780761019,30181,0
1780761020,30179,0
1780761022,30181,0
1780761023,30181,0
1780761025,30179,0
1780761026,30181,0
1780761028,30181,0
1780761029,30181,0
1780761030,30181,0
1780761032,30181,0
1780761033,30181,0
1780761034,30181,0
1780761036,30181,0
1780761037,30181,0
1780761038,30181,0
1780761039,30181,0
1780761041,30181,0
1780761042,30179,0
1780761043,30179,0
1780761044,30181,0
1780761046,30181,0
1780761047,30181,0
1780761048,30181,0
1780761050,30181,0
1780761051,30181,0
1780761053,30181,0
1780761054,30181,0
1780761056,30181,0
1780761057,30181,0
1780761059,30181,0
1780761060,30181,0
1780761061,30181,0
1780761063,30181,0
1780761064,30179,0
1780761065,30181,0
1780761066,30181,0
1780761068,30179,0
1780761069,30179,0
1780761070,30181,0
1780761072,30181,0
1780761073,30181,0
1780761074,30181,0
1780761076,30181,0
1780761077,30179,0
1780761079,30181,0
1780761080,30181,0
1780761081,30181,0
1780761083,30181,0
1780761084,30181,0
1780761086,30181,0
1780761087,30181,0
1780761088,30181,0
1780761090,30179,0
1780761091,30181,0
1780761092,30181,0
1780761094,30179,0
1780761095,30179,0
1780761097,30181,0
1780761098,30181,0
1780761100,30181,0
1780761101,30181,0
1780761103,30181,0
1780761104,30181,0
1780761105,30181,0
1780761107,30181,0
1780761108,30181,0
1780761109,30181,0
1780761111,30181,0
1780761112,30181,0
1780761114,30181,0
1780761115,30181,0
1780761117,30181,0
1780761118,30181,0
1780761120,30181,0
1780761121,30181,0
1780761122,30179,0
1780761124,30181,0
1780761125,30181,0
1780761126,30181,0
1780761128,30181,0
1780761129,30181,0
1780761131,30181,0
1780761132,30181,0
1780761133,30181,0
1780761135,30181,0
1780761137,30181,0
1780761138,30181,0
1780761140,30181,0
1780761141,30181,0
1780761142,30179,0
1780761144,30181,0
1780761145,30181,0
1780761146,30179,0
1780761148,30179,0
1780761149,30181,0
1780761150,30181,0
1780761152,30181,0
1780761153,30181,0
1780761154,30181,0
1780761156,30179,0
1780761157,30181,0
1780761159,30181,0
1780761160,30181,0
1780761162,30181,0
1780761163,30181,0
1780761165,30181,0
1780761166,30181,0
1780761167,30181,0
1780761169,30181,0
1780761170,30181,0
1780761172,30181,0
1780761173,30181,0
1780761175,30181,0
1780761176,30181,0
1780761178,30181,0
1780761179,30181,0
1780761181,30181,0
1780761182,30181,0
1780761184,30181,0
1780761185,30179,0
1780761187,30179,0
1780761188,30181,0
1780761190,30181,0
1780761191,30181,0
1780761193,30181,0
1780761194,30181,0
1780761196,30179,0
1780761197,30181,0
1780761199,30181,0
1780761200,30181,0
1780761201,30181,0
1780761203,30181,0
1780761204,30181,0
1780761205,30181,0
