timestamp,appl_db_keys,route_pending_keys
1780554982,50182,0
1780554984,52027,2119
1780554986,53798,3669
1780554987,54386,4348
1780554989,55692,5803
1780554991,58382,8534
1780554993,60862,10969
1780554994,62995,12974
1780554996,64143,14196
1780554997,66490,16510
1780554999,67018,16952
1780555000,68843,18922
1780555002,70879,20891
1780555003,74028,23943
1780555004,76220,26187
1780555006,78590,28556
1780555007,81550,31528
1780555008,83475,33477
1780555010,86260,36331
1780555011,88826,37727
1780555013,90163,40265
1780555014,93338,43496
1780555015,96140,46154
1780555017,98127,47952
1780555018,98135,47952
1780555019,98133,47952
1780555021,98133,47952
1780555022,98133,47952
1780555023,97109,46928
1780555024,97109,46928
1780555026,97109,46928
1780555027,97109,46928
1780555028,97109,46928
1780555030,97109,46928
1780555031,97111,46928
1780555032,97111,46928
1780555033,96087,45904
1780555035,96087,45904
1780555036,96087,45904
1780555037,96087,45904
1780555039,96087,45904
1780555040,96087,45904
1780555041,96087,45904
1780555043,96085,45904
1780555044,96087,45904
1780555046,96087,45904
1780555048,96087,45904
1780555049,96087,45904
1780555051,95063,44880
1780555052,95063,44880
1780555053,95063,44880
1780555055,95063,44880
1780555056,95063,44880
1780555058,95063,44880
1780555059,95061,44880
1780555061,95061,44880
1780555062,95061,44880
1780555064,94037,43856
1780555065,94037,43856
1780555067,94037,43856
1780555068,94037,43856
1780555070,94039,43856
1780555072,94039,43856
1780555073,94037,43856
1780555075,94037,43856
1780555076,94037,43856
1780555078,93013,42832
1780555079,93013,42832
1780555081,93013,42832
1780555082,93013,42832
1780555083,93015,42832
1780555085,93013,42832
1780555087,93013,42832
1780555088,91989,41808
1780555090,91989,41808
1780555091,91989,41808
1780555093,91989,41808
1780555094,91989,41808
1780555095,91989,41808
1780555097,91991,41808
1780555098,91991,41808
1780555100,90967,40784
1780555101,90967,40784
1780555103,90967,40784
1780555105,90967,40784
1780555107,90967,40784
1780555108,90967,40784
1780555110,90967,40784
1780555111,90965,40784
1780555113,90965,40784
1780555114,89941,39760
1780555116,89941,39760
1780555117,89941,39760
1780555119,89941,39760
1780555120,89941,39760
1780555122,89941,39760
1780555123,89943,39760
1780555125,89943,39760
1780555126,88919,38736
1780555127,88919,38736
1780555129,88919,38736
1780555130,88919,38736
1780555132,88919,38736
1780555133,88917,38736
1780555135,88917,38736
1780555136,88919,38736
1780555138,88919,38736
1780555139,87895,37712
1780555141,87895,37712
1780555142,87895,37712
1780555144,87895,37712
1780555145,87895,37712
1780555147,87893,37712
1780555149,87895,37712
1780555150,87895,37712
1780555152,87895,37712
1780555153,86871,36688
1780555154,86871,36688
1780555156,86871,36688
1780555157,86871,36688
1780555159,86871,36688
1780555160,86871,36688
1780555162,86871,36688
1780555163,86869,36688
1780555165,86869,36688
1780555167,86869,36688
1780555168,86869,36688
1780555170,86869,36688
1780555171,85845,35664
1780555173,85845,35664
1780555174,85845,35664
1780555175,85847,35664
1780555177,85847,35664
1780555178,85845,35664
1780555179,85845,35664
1780555181,85845,35664
1780555182,85845,35664
1780555183,84821,34640
1780555184,84821,34640
1780555186,84821,34640
1780555187,84821,34640
1780555188,84823,34640
1780555189,84821,34640
1780555191,84821,34640
1780555192,84821,34640
1780555193,83797,33616
1780555195,83797,33616
1780555196,83797,33616
1780555197,83797,33616
1780555199,83797,33616
1780555200,83797,33616
1780555201,83799,33616
1780555202,83799,33616
1780555204,82775,32592
1780555205,82775,32592
1780555206,82775,32592
1780555208,82775,32592
1780555209,82775,32592
1780555210,82773,32592
1780555211,82773,32592
1780555213,82773,32592
1780555214,81751,31568
1780555215,81751,31568
1780555217,81751,31568
1780555218,81751,31568
1780555219,81751,31568
1780555221,81749,31568
1780555222,81749,31568
1780555223,81749,31568
1780555225,81749,31568
1780555226,81751,31568
1780555228,80727,30544
1780555230,80727,30544
1780555231,80727,30544
1780555233,80727,30544
1780555234,80727,30544
1780555235,80725,30544
1780555237,80725,30544
1780555238,80725,30544
1780555240,79703,29520
1780555241,79703,29520
1780555242,79703,29520
1780555244,79703,29520
1780555245,79703,29520
1780555246,79701,29520
1780555248,79701,29520
1780555249,79701,29520
1780555250,78677,28496
1780555252,78677,28496
1780555253,78679,28496
1780555254,78679,28496
1780555255,78677,28496
1780555257,78677,28496
1780555258,78677,28496
1780555259,77653,27472
1780555261,77653,27472
1780555262,77653,27472
1780555263,77653,27472
1780555264,77653,27472
1780555266,77653,27472
1780555267,77655,27472
1780555268,77655,27472
1780555270,76631,26448
1780555271,76631,26448
1780555273,76631,26448
1780555274,76631,26448
1780555275,76631,26448
1780555277,76631,26448
1780555278,76629,26448
1780555280,76631,26448
1780555281,76631,26448
