timestamp,elapsed_seconds,route_pending_keys
1780557866,0,33116
1780557868,2,32092
1780557870,4,32092
1780557873,7,31068
1780557875,9,30044
1780557877,11,29020
1780557880,14,29020
1780557882,16,29020
1780557884,18,29020
1780557887,21,27996
1780557889,23,26972
1780557891,25,26972
1780557893,27,25948
1780557895,29,25948
1780557897,31,24924
1780557900,34,23900
1780557902,36,23900
1780557904,38,22876
1780557907,41,22876
1780557909,43,21852
1780557911,45,21852
1780557913,47,21852
1780557916,50,20828
1780557918,52,20828
1780557920,54,19804
1780557922,56,19804
1780557925,59,19804
1780557927,61,18780
1780557929,63,18780
1780557931,65,17756
1780557933,67,17756
1780557935,69,17756
1780557938,72,16732
1780557940,74,16732
1780557942,76,16732
1780557945,79,16732
1780557947,81,16732
1780557950,84,15708
1780557952,86,15708
1780557954,88,15708
1780557956,90,14684
1780557959,93,14684
1780557961,95,13660
1780557963,97,13660
1780557965,99,13660
1780557967,101,12636
1780557970,104,12636
1780557972,106,12636
1780557974,108,11612
1780557976,110,11612
1780557979,113,11612
1780557981,115,10588
1780557983,117,10588
1780557985,119,10588
1780557988,122,10588
1780557990,124,9564
1780557992,126,9564
1780557994,128,9564
1780557996,130,8540
1780557999,133,8540
1780558001,135,8540
1780558004,138,8540
1780558006,140,8540
1780558009,143,8540
1780558011,145,7516
1780558013,147,7516
1780558015,149,7516
1780558018,152,7516
1780558020,154,6492
1780558022,156,6492
1780558025,159,6492
1780558027,161,6492
1780558029,163,5468
1780558031,165,5468
1780558033,167,5468
1780558036,170,5468
1780558038,172,5468
1780558040,174,4444
1780558042,176,4444
1780558045,179,4444
1780558047,181,4444
1780558049,183,4444
1780558051,185,3420
1780558054,188,3420
1780558056,190,3420
1780558058,192,3420
1780558061,195,3420
1780558063,197,3420
1780558066,200,2396
1780558068,202,2396
1780558070,204,2396
1780558073,207,2396
1780558075,209,2396
1780558077,211,2396
1780558080,214,1372
1780558082,216,1372
1780558085,219,1372
1780558087,221,1372
1780558089,223,1372
1780558091,225,1372
1780558094,228,348
1780558096,230,348
1780558098,232,348
1780558100,234,348
1780558102,236,0
