timestamp,elapsed_seconds,route_pending_keys
1780558163,0,48976
1780558165,2,48976
1780558167,4,48976
1780558169,6,47952
1780558171,8,47952
1780558173,10,47952
1780558176,13,47952
1780558178,15,46928
1780558180,17,46928
1780558182,19,46928
1780558185,22,46928
1780558187,24,46928
1780558189,26,45904
1780558191,28,45904
1780558194,31,45904
1780558196,33,45904
1780558198,35,45904
1780558200,37,44880
1780558202,39,44880
1780558204,41,44880
1780558207,44,44880
1780558209,46,43856
1780558211,48,43856
1780558213,50,43856
1780558215,52,42832
1780558218,55,42832
1780558220,57,42832
1780558222,59,42832
1780558224,61,41808
1780558226,63,41808
1780558228,65,41808
1780558231,68,40784
1780558233,70,40784
1780558235,72,40784
1780558237,74,39760
1780558239,76,39760
1780558242,79,39760
1780558244,81,39760
1780558246,83,39760
1780558249,86,38736
1780558251,88,38736
1780558253,90,38736
1780558255,92,37712
1780558257,94,37712
1780558260,97,36688
1780558262,99,36688
1780558264,101,36688
1780558266,103,35664
1780558268,105,35664
1780558270,107,34640
1780558273,110,34640
1780558275,112,34640
1780558277,114,33616
1780558279,116,33616
1780558281,118,33616
1780558283,120,32592
1780558286,123,32592
1780558288,125,31568
1780558290,127,31568
1780558292,129,31568
1780558294,131,30544
1780558296,133,30544
1780558299,136,29520
1780558301,138,29520
1780558303,140,29520
1780558306,143,28496
1780558308,145,28496
1780558310,147,27472
1780558312,149,27472
1780558314,151,26448
1780558317,154,26448
1780558319,156,25424
1780558321,158,25424
1780558323,160,24400
1780558325,162,23376
1780558327,164,22352
1780558330,167,21328
1780558332,169,21328
1780558334,171,20304
1780558336,173,19280
1780558338,175,18256
1780558340,177,17232
1780558343,180,16208
1780558345,182,15184
1780558347,184,14160
1780558349,186,12112
1780558351,188,11088
1780558353,190,9040
1780558356,193,3920
1780558358,195,0
