timestamp,appl_db_keys,route_pending_keys
1780557842,180,0
1780557843,2409,172
1780557845,5775,1362
1780557846,8217,1676
1780557848,11678,4127
1780557850,14667,6181
1780557851,17234,7661
1780557852,20665,9842
1780557854,23522,11950
1780557855,27251,14359
1780557857,30466,17835
1780557858,33755,20245
1780557860,37268,23660
1780557861,40793,26062
1780557863,44526,29889
1780557864,47810,32042
1780557866,50181,33116
1780557867,50181,33116
1780557869,50181,32092
1780557870,50181,32092
1780557872,50183,32092
1780557873,50181,31068
1780557874,50181,30044
1780557876,50181,30044
1780557877,50181,29020
1780557879,50181,29020
1780557881,50181,29020
1780557883,50181,29020
1780557885,50181,29020
1780557886,50181,27996
1780557888,50181,27996
1780557889,50181,26972
1780557890,50181,26972
1780557892,50181,26972
1780557893,50181,25948
1780557895,50181,25948
1780557896,50181,24924
1780557897,50181,24924
1780557898,50181,24924
1780557900,50181,23900
1780557901,50181,23900
1780557903,50181,23900
1780557904,50181,22876
1780557906,50181,22876
1780557907,50181,22876
1780557909,50181,21852
1780557910,50183,21852
1780557912,50183,21852
1780557913,50183,21852
1780557915,50183,20828
1780557916,50183,20828
1780557918,50181,20828
1780557920,50181,19804
1780557921,50181,19804
1780557923,50181,19804
1780557924,50183,19804
1780557926,50183,18780
1780557927,50181,18780
1780557928,50181,18780
1780557930,50181,17756
1780557931,50181,17756
1780557933,50181,17756
1780557934,50181,17756
1780557936,50181,17756
1780557937,50183,16732
1780557939,50183,16732
1780557941,50183,16732
1780557943,50183,16732
1780557945,50183,16732
1780557946,50181,16732
1780557948,50181,15708
1780557949,50181,15708
1780557951,50181,15708
1780557952,50181,15708
1780557954,50181,15708
1780557955,50181,14684
1780557957,50181,14684
1780557958,50181,14684
1780557960,50181,13660
1780557961,50181,13660
1780557962,50183,13660
1780557964,50183,13660
1780557965,50181,13660
1780557967,50181,12636
1780557968,50181,12636
1780557970,50181,12636
1780557971,50181,12636
1780557972,50181,12636
1780557974,50181,12636
1780557975,50181,11612
1780557976,50181,11612
1780557978,50181,11612
1780557979,50181,11612
1780557980,50181,10588
1780557982,50181,10588
1780557983,50181,10588
1780557985,50181,10588
1780557986,50181,10588
1780557987,50181,10588
1780557989,50183,9564
1780557990,50183,9564
1780557991,50183,9564
1780557993,50183,9564
1780557994,50181,9564
1780557995,50181,9564
1780557996,50181,8540
1780557998,50181,8540
1780558000,50181,8540
1780558002,50183,8540
1780558003,50183,8540
1780558005,50183,8540
1780558007,50181,8540
1780558008,50181,8540
1780558009,50181,8540
1780558011,50181,7516
1780558012,50181,7516
1780558014,50181,7516
1780558015,50183,7516
1780558016,50181,7516
1780558017,50181,7516
1780558019,50181,6492
1780558020,50181,6492
1780558022,50181,6492
1780558023,50181,6492
1780558025,50181,6492
1780558026,50181,6492
1780558028,50183,6492
1780558029,50183,5468
1780558031,50183,5468
1780558032,50183,5468
1780558033,50183,5468
1780558035,50183,5468
1780558036,50181,5468
1780558038,50181,5468
1780558039,50181,5468
1780558041,50183,4444
1780558042,50183,4444
1780558044,50183,4444
1780558046,50183,4444
1780558047,50181,4444
1780558048,50181,4444
1780558050,50181,4444
1780558051,50181,3420
1780558053,50181,3420
1780558054,50183,3420
1780558056,50183,3420
1780558057,50181,3420
1780558059,50181,3420
1780558061,50181,3420
1780558062,50181,3420
1780558064,50181,2396
1780558066,50181,2396
1780558068,50183,2396
1780558069,50183,2396
1780558070,50183,2396
1780558072,50183,2396
1780558074,50181,2396
1780558075,50181,2396
1780558076,50181,2396
1780558078,50181,2396
1780558080,50181,1372
1780558081,50183,1372
1780558083,50183,1372
1780558084,50183,1372
1780558085,50183,1372
1780558087,50183,1372
1780558088,50181,1372
1780558090,50181,1372
1780558091,50181,1372
1780558093,50181,348
1780558094,50183,348
1780558095,50183,348
1780558097,50183,348
1780558098,50183,348
1780558100,50181,348
1780558101,50181,348
1780558102,50181,348
1780558104,50180,0
1780558105,50180,0
1780558107,50182,0
1780558108,50182,0
1780558109,50180,0
1780558111,50180,0
1780558112,50180,0
1780558114,50180,0
1780558115,50180,0
1780558116,50180,0
1780558118,50180,0
1780558119,50182,0
1780558121,50182,0
1780558123,50182,0
1780558125,50182,0
1780558126,50180,0
1780558127,50180,0
1780558129,50180,0
1780558130,50180,0
1780558132,50180,0
1780558133,50182,0
1780558135,50182,0
1780558136,50182,0
1780558138,50180,0
1780558139,50180,0
1780558141,50180,0
