timestamp,appl_db_keys,route_pending_keys
1780551928,180,0
1780551929,2746,18
1780551931,6381,1230
1780551933,8972,1712
1780551934,12209,2911
1780551936,15685,5141
1780551937,18611,7041
1780551939,21813,9424
1780551940,24730,11227
1780551942,27813,14436
1780551944,30751,16270
1780551945,33604,18127
1780551947,37446,21884
1780551948,40973,24292
1780551950,44214,26771
1780551951,47953,30387
1780551953,50181,32274
1780551954,50181,31250
1780551956,50181,30226
1780551957,50183,30226
1780551958,50183,29202
1780551960,50183,29202
1780551961,50181,29202
1780551963,50181,28178
1780551964,50181,28178
1780551966,50181,27154
1780551968,50181,27154
1780551969,50183,27154
1780551971,50183,27154
1780551972,50181,27154
1780551973,50181,26130
1780551975,50181,26130
1780551976,50181,25106
1780551977,50181,25106
1780551979,50181,24082
1780551980,50181,24082
1780551981,50181,24082
1780551983,50183,24082
1780551984,50183,23058
1780551985,50183,23058
1780551986,50181,23058
1780551988,50181,22034
1780551989,50181,22034
1780551991,50181,22034
1780551992,50181,22034
1780551993,50181,21010
1780551994,50181,21010
1780551996,50183,21010
1780551997,50183,19986
1780551998,50183,19986
1780552000,50181,19986
1780552001,50181,19986
1780552002,50181,18962
1780552003,50181,18962
1780552005,50181,18962
1780552006,50181,17938
1780552007,50181,17938
1780552009,50183,17938
1780552010,50183,16914
1780552012,50183,16914
1780552013,50183,16914
1780552014,50183,16914
1780552016,50181,15890
1780552017,50181,15890
1780552019,50181,15890
1780552020,50181,15890
1780552022,50183,15890
1780552023,50183,14866
1780552025,50183,14866
1780552026,50183,14866
1780552028,50183,14866
1780552030,50183,14866
1780552032,50183,14866
1780552033,50183,14866
1780552035,50183,14866
1780552036,50183,14866
1780552038,50183,13842
1780552039,50183,13842
1780552041,50183,13842
1780552043,50183,13842
1780552044,50183,13842
1780552046,50181,13842
1780552047,50181,12818
1780552049,50183,12818
1780552050,50183,12818
1780552051,50183,12818
1780552052,50183,12818
1780552054,50181,11794
1780552055,50181,11794
1780552056,50181,11794
1780552058,50181,11794
1780552059,50181,10770
1780552060,50181,10770
1780552061,50183,10770
1780552063,50183,10770
1780552064,50183,10770
1780552065,50183,10770
1780552066,50181,9746
1780552068,50181,9746
1780552069,50181,9746
1780552070,50181,9746
1780552071,50181,9746
1780552073,50181,9746
1780552074,50183,8722
1780552075,50183,8722
1780552077,50183,8722
1780552078,50183,8722
1780552079,50181,7698
1780552080,50181,7698
1780552082,50181,7698
1780552083,50181,7698
1780552084,50181,7698
1780552086,50181,7698
1780552088,50183,7698
1780552089,50183,7698
1780552091,50181,7698
1780552092,50181,6674
1780552094,50181,6674
1780552095,50181,6674
1780552096,50181,6674
1780552098,50181,6674
1780552099,50181,6674
1780552101,50183,5650
1780552102,50183,5650
1780552103,50183,5650
1780552105,50183,5650
1780552106,50183,5650
1780552107,50183,5650
