timestamp,appl_db_keys,route_pending_keys
1780553016,180,0
1780553018,2173,394
1780553019,4829,448
1780553021,7795,1470
1780553022,10188,1700
1780553024,12858,3401
1780553026,15223,4661
1780553027,17197,5413
1780553029,19511,7196
1780553030,22739,10061
1780553032,25383,11570
1780553034,26825,13174
1780553035,28273,13435
1780553037,30400,15709
1780553039,32018,17204
1780553041,33588,18879
1780553042,35275,19619
1780553044,37249,21507
1780553045,38555,21690
1780553047,40633,23967
1780553049,42405,25533
1780553051,43585,26736
1780553053,44386,27564
1780553055,45554,28834
1780553057,46740,29877
1780553059,47794,29970
1780553061,49008,31083
1780553063,50181,32184
1780553065,50181,32184
1780553069,50183,32184
1780553072,50183,31160
1780553076,50183,31160
1780553077,50181,31160
1780553079,50181,31160
1780553081,50181,31160
1780553082,50183,30136
1780553083,50181,30136
1780553085,50181,30136
1780553086,50181,29112
1780553087,50181,29112
1780553088,50181,28088
1780553090,50181,28088
1780553091,50181,28088
1780553092,50181,27064
1780553094,50181,27064
1780553095,50183,27064
1780553096,50183,26040
1780553098,50181,26040
1780553099,50181,25016
1780553101,50181,25016
1780553102,50181,25016
1780553103,50181,25016
1780553105,50181,23992
1780553106,50181,23992
1780553107,50183,23992
1780553109,50183,22968
1780553111,50183,22968
1780553113,50183,22968
1780553115,50183,22968
1780553117,50183,22968
1780553120,50183,22968
1780553121,50181,22968
1780553123,50183,22968
1780553124,50183,21944
1780553125,50183,21944
1780553127,50183,21944
1780553128,50183,21944
1780553129,50181,21944
1780553130,50181,21944
1780553132,50181,20920
1780553133,50181,20920
1780553135,50183,20920
1780553136,50181,20920
1780553137,50181,20920
1780553139,50181,19896
1780553140,50181,19896
1780553142,50181,19896
1780553143,50181,19896
1780553145,50181,19896
1780553146,50181,18872
1780553148,50183,18872
1780553149,50181,18872
1780553151,50181,18872
1780553153,50181,18872
1780553154,50181,17848
1780553156,50181,17848
1780553157,50181,17848
1780553159,50181,17848
1780553160,50183,16824
1780553162,50183,16824
1780553164,50183,16824
1780553165,50181,16824
1780553167,50181,16824
1780553168,50181,15800
1780553169,50181,15800
1780553171,50181,15800
1780553173,50183,15800
1780553175,50183,15800
1780553177,50183,15800
1780553179,50183,15800
1780553181,50183,15800
1780553182,50183,14776
1780553183,50181,14776
1780553185,50181,14776
1780553186,50183,14776
1780553187,50183,14776
1780553189,50183,14776
1780553190,50183,13752
1780553192,50181,13752
1780553193,50181,13752
1780553194,50181,13752
1780553196,50181,13752
1780553197,50181,12728
1780553199,50183,12728
1780553200,50183,12728
1780553202,50183,12728
1780553203,50183,12728
1780553205,50183,12728
1780553206,50183,11704
1780553208,50183,11704
1780553209,50181,11704
1780553211,50181,11704
1780553212,50183,11704
1780553213,50183,11704
1780553215,50183,10680
1780553216,50181,10680
1780553218,50181,10680
1780553219,50181,9656
1780553221,50181,9656
1780553222,50181,9656
1780553224,50181,9656
1780553225,50183,9656
1780553226,50183,9656
1780553228,50183,8632
1780553229,50183,8632
1780553231,50183,8632
1780553233,50183,8632
1780553235,50183,8632
1780553236,50183,8632
1780553238,50183,8632
1780553240,50183,8632
1780553241,50183,8632
1780553243,50183,8632
1780553245,50183,7608
1780553246,50183,7608
1780553248,50183,7608
1780553250,50183,7608
1780553251,50183,7608
1780553253,50183,7608
1780553255,50183,7608
1780553257,50183,6584
1780553258,50183,6584
1780553260,50183,6584
1780553261,50183,6584
1780553263,50183,6584
1780553264,50181,6584
1780553265,50183,6584
1780553267,50183,6584
1780553268,50183,5560
1780553269,50183,5560
1780553271,50183,5560
1780553272,50183,5560
1780553273,50183,5560
1780553275,50181,5560
1780553276,50181,5560
1780553277,50183,4536
1780553279,50183,4536
1780553280,50183,4536
1780553282,50183,4536
1780553283,50183,4536
1780553284,50181,4536
1780553286,50181,4536
1780553287,50181,4536
1780553288,50181,3512
1780553289,50181,3512
1780553291,50183,3512
1780553293,50183,3512
1780553294,50183,3512
1780553296,50183,3512
1780553298,50183,3512
1780553300,50181,3512
1780553301,50181,3512
1780553303,50181,2488
1780553304,50183,2488
1780553306,50183,2488
1780553307,50183,2488
1780553309,50183,2488
1780553310,50181,2488
1780553311,50181,2488
1780553313,50181,2488
1780553314,50181,1464
