timestamp,elapsed_seconds,route_pending_keys
1780559898,0,25247
1780559901,3,24223
1780559903,5,23199
1780559905,7,22175
1780559907,9,21151
1780559909,11,21151
1780559911,13,20127
1780559914,16,19103
1780559916,18,19103
1780559918,20,18079
1780559920,22,17055
1780559923,25,17055
1780559925,27,16031
1780559927,29,16031
1780559929,31,15007
1780559931,33,15007
1780559934,36,15007
1780559936,38,15007
1780559938,40,13983
1780559941,43,13983
1780559943,45,12959
1780559945,47,12959
1780559948,50,11935
1780559950,52,11935
1780559952,54,11935
1780559954,56,10911
1780559956,58,10911
1780559959,61,10911
1780559961,63,9887
1780559963,65,9887
1780559965,67,9887
1780559968,70,8863
1780559970,72,8863
1780559972,74,8863
1780559974,76,7839
1780559976,78,6815
1780559979,81,6815
1780559981,83,6815
1780559983,85,6815
1780559985,87,5791
1780559987,89,5791
1780559990,92,4767
1780559992,94,4767
1780559994,96,4767
1780559997,99,4767
1780559999,101,4767
1780560001,103,3743
1780560003,105,3743
1780560006,108,3743
1780560008,110,2719
1780560010,112,2719
1780560012,114,2719
1780560015,117,2719
1780560017,119,1695
1780560019,121,1695
1780560021,123,1695
1780560023,125,1695
1780560026,128,671
1780560028,130,671
1780560030,132,0
