timestamp,elapsed_seconds,route_pending_keys
1780560127,0,37952
1780560129,2,37952
1780560131,4,36928
1780560133,6,36928
1780560136,9,36928
1780560138,11,35904
1780560140,13,35904
1780560142,15,35904
1780560144,17,34880
1780560146,19,33856
1780560148,21,33856
1780560151,24,33856
1780560153,26,32832
1780560155,28,32832
1780560157,30,31808
1780560159,32,30784
1780560161,34,30784
1780560164,37,30784
1780560166,39,29760
1780560168,41,28736
1780560170,43,28736
1780560172,45,28736
1780560174,47,27712
1780560177,50,27712
1780560179,52,27712
1780560181,54,26688
1780560183,56,26688
1780560186,59,25664
1780560188,61,25664
1780560190,63,24640
1780560192,65,24640
1780560194,67,23616
1780560197,70,23616
1780560199,72,22592
1780560201,74,21568
1780560203,76,20544
1780560205,78,19520
1780560207,80,18496
1780560210,83,17472
1780560212,85,17472
1780560214,87,15424
1780560216,89,14400
1780560218,91,13376
1780560220,93,11328
1780560223,96,9280
1780560225,98,7232
1780560227,100,0
