timestamp,appl_db_keys,route_pending_keys
1780550073,26214,46994
1780550075,29190,46342
1780550076,33198,46805
1780550078,37573,47232
1780550079,41263,46599
1780550081,45831,47058
1780550082,49122,47351
1780550084,53371,47804
1780550085,56507,47265
1780550087,60104,47641
1780550088,62936,46965
1780550089,66802,47454
1780550091,70826,47934
1780550092,73965,48232
1780550093,73437,47208
1780550095,73437,47208
1780550097,73439,47208
1780550098,73437,47208
1780550100,72922,46184
1780550102,72922,46184
1780550103,72922,46184
1780550105,72922,46184
1780550106,72385,45160
1780550107,72385,45160
1780550109,72385,45160
1780550110,71895,44136
1780550111,71895,44136
1780550113,71895,44136
1780550114,71893,44136
1780550115,71380,43112
1780550117,71380,43112
