timestamp,appl_db_keys,route_pending_keys
1780765995,179,0
1780765998,650,4
1780766000,1297,16
1780766003,1616,113
1780766006,2204,10
1780766009,2640,480
1780766011,3358,1160
1780766014,3745,510
1780766017,4070,820
1780766020,4295,1036
1780766022,4495,260
1780766025,4934,664
1780766028,5266,1025
1780766032,5650,1371
1780766034,5973,1724
1780766037,6131,834
1780766040,6684,1444
1780766044,7240,2020
1780766047,7685,2436
1780766050,8023,2749
1780766053,8199,1867
1780766055,8357,2032
1780766057,8520,2209
1780766060,8791,2481
1780766063,9178,2880
1780766066,9530,3229
1780766069,9880,3587
1780766072,10119,2748
1780766076,10180,2797
1780766078,10180,2797
1780766082,10182,2797
1780766084,10182,2797
1780766088,10182,2797
1780766091,10182,2797
1780766095,10182,2797
1780766098,10182,2797
1780766100,10180,2797
1780766103,10180,1773
1780766106,10182,1773
1780766109,10182,1773
1780766112,10182,1773
1780766115,10182,1773
1780766119,10182,1773
1780766121,10182,1773
1780766123,10182,1773
1780766127,10180,749
1780766130,10180,749
1780766134,10182,749
1780766137,10182,749
1780766140,10182,749
1780766143,10182,749
1780766145,10182,749
1780766148,10180,749
1780766152,10179,0
1780766155,10179,0
1780766157,10179,0
1780766160,10181,0
1780766162,10181,0
1780766165,10181,0
1780766168,10181,0
1780766171,10181,0
1780766173,10181,0
