timestamp,appl_db_keys,route_pending_keys
1780767838,179,0
1780767841,939,3
1780767843,1550,94
1780767846,1791,120
1780767849,2262,149
1780767852,2577,115
1780767854,3118,186
1780767856,3511,545
1780767859,4024,3
1780767861,4304,321
1780767864,4641,724
1780767866,5139,453
1780767869,5953,1285
1780767871,6392,1700
1780767874,6749,1020
1780767876,7180,1400
1780767879,7585,1889
1780767881,8068,2339
1780767884,8618,2911
1780767887,9172,3450
1780767889,9911,4188
1780767892,10182,4385
1780767894,10182,3361
1780767897,10182,3361
1780767900,10182,2337
1780767902,10182,2337
1780767904,10182,2337
1780767906,10180,2337
1780767909,10182,1313
1780767912,10182,1313
1780767916,10182,1313
1780767918,10182,1313
1780767920,10180,1313
1780767923,10182,1313
1780767925,10182,1313
1780767927,10182,289
1780767930,10182,289
1780767932,10182,289
1780767935,10182,289
1780767938,10182,289
1780767941,10182,289
1780767943,10180,289
1780767945,10179,0
1780767948,10179,0
1780767949,10179,0
1780767952,10179,0
1780767954,10179,0
1780767957,10179,0
1780767959,10179,0
1780767961,10179,0
1780767963,10181,0
1780767965,10181,0
1780767968,10179,0
1780767970,10179,0
1780767972,10179,0
1780767975,10181,0
1780767978,10181,0
1780767980,10181,0
1780767983,10181,0
1780767986,10179,0
1780767988,10181,0
1780767991,10181,0
1780767994,10181,0
1780767997,10181,0
1780767999,10181,0
1780768002,10179,0
1780768004,10179,0
1780768007,10179,0
1780768009,10179,0
1780768011,10179,0
1780768013,10179,0
1780768015,10181,0
