timestamp,elapsed_seconds,route_pending_keys
1780769498,0,9876
1780769501,3,9876
1780769504,6,9876
1780769507,9,9876
1780769509,11,8852
1780769512,14,8852
1780769515,17,8852
1780769519,21,8852
1780769522,24,8852
1780769525,27,7828
1780769528,30,7828
1780769531,33,7828
1780769534,36,7828
1780769536,38,7828
1780769539,41,7828
1780769542,44,6804
1780769545,47,6804
1780769547,49,6804
1780769550,52,6804
1780769553,55,5780
1780769556,58,5780
1780769558,60,5780
1780769562,64,5780
1780769564,66,4756
1780769568,70,4756
1780769571,73,4756
1780769574,76,4756
1780769577,79,4756
1780769579,81,4756
1780769583,85,4756
1780769586,88,4756
1780769589,91,4756
1780769592,94,4756
1780769595,97,4756
1780769598,100,4756
1780769601,103,3732
1780769604,106,3732
1780769607,109,3732
1780769611,113,3732
1780769614,116,3732
1780769617,119,3732
1780769620,122,2708
1780769623,125,2708
1780769626,128,2708
1780769628,130,2708
1780769631,133,2708
1780769633,135,2708
1780769636,138,2708
1780769638,140,1684
1780769641,143,1684
1780769643,145,1684
1780769646,148,1684
1780769648,150,1684
1780769651,153,1684
1780769653,155,1684
1780769656,158,660
1780769658,160,660
1780769661,163,660
1780769663,165,660
1780769665,167,0
