timestamp,elapsed_seconds,route_pending_keys
1780768948,0,9577
1780768951,3,9577
1780768954,6,9577
1780768958,10,9577
1780768960,12,9577
1780768963,15,8553
1780768967,19,8553
1780768970,22,8553
1780768974,26,8553
1780768977,29,8553
1780768980,32,8553
1780768983,35,8553
1780768986,38,8553
1780768989,41,8553
1780768993,45,7529
1780768996,48,7529
1780768999,51,7529
1780769002,54,7529
1780769005,57,7529
1780769008,60,7529
1780769011,63,7529
1780769014,66,7529
1780769018,70,7529
1780769020,72,6505
1780769024,76,6505
1780769027,79,6505
1780769030,82,6505
1780769033,85,6505
1780769036,88,6505
1780769039,91,6505
1780769042,94,6505
1780769045,97,6505
1780769048,100,6505
1780769050,102,6505
1780769053,105,6505
1780769055,107,5481
1780769058,110,5481
1780769061,113,5481
1780769064,116,5481
1780769067,119,5481
1780769070,122,5481
1780769073,125,5481
1780769075,127,5481
1780769078,130,5481
1780769081,133,4457
1780769085,137,4457
1780769088,140,4457
1780769092,144,4457
1780769095,147,4457
1780769098,150,4457
1780769101,153,4457
1780769103,155,4457
1780769106,158,4457
1780769108,160,4457
1780769111,163,3433
1780769113,165,3433
1780769115,167,3433
1780769118,170,3433
1780769120,172,2409
1780769123,175,2409
1780769125,177,2409
1780769128,180,2409
1780769130,182,1385
1780769133,185,1385
1780769135,187,1385
1780769137,189,1385
1780769140,192,1385
1780769142,194,1385
1780769145,197,1385
1780769147,199,361
1780769150,202,361
1780769153,205,361
1780769155,207,361
1780769157,209,361
1780769160,212,361
1780769162,214,0
