timestamp,elapsed_seconds,route_pending_keys
1780769187,0,18976
1780769189,2,18976
1780769192,5,17952
1780769194,7,17952
1780769197,10,17952
1780769199,12,17952
1780769202,15,17952
1780769205,18,17952
1780769207,20,17952
1780769210,23,17952
1780769213,26,17952
1780769215,28,17952
1780769218,31,16928
1780769220,33,16928
1780769223,36,16928
1780769226,39,16928
1780769228,41,16928
1780769230,43,15904
1780769233,46,15904
1780769236,49,15904
1780769238,51,15904
1780769240,53,14880
1780769243,56,14880
1780769246,59,14880
1780769248,61,14880
1780769251,64,13856
1780769254,67,13856
1780769257,70,13856
1780769260,73,13856
1780769264,77,13856
1780769267,80,13856
1780769271,84,13856
1780769274,87,13856
1780769278,91,13856
1780769281,94,13856
1780769284,97,13856
1780769287,100,13856
1780769290,103,13856
1780769293,106,13856
1780769296,109,13856
1780769299,112,12832
1780769302,115,12832
1780769305,118,12832
1780769307,120,12832
1780769310,123,12832
1780769313,126,12832
1780769315,128,12832
1780769318,131,11808
1780769320,133,11808
1780769323,136,11808
1780769326,139,11808
1780769330,143,11808
1780769333,146,11808
1780769336,149,11808
1780769338,151,11808
1780769341,154,11808
1780769343,156,10784
1780769346,159,10784
1780769348,161,10784
1780769351,164,10784
1780769353,166,10784
1780769356,169,9760
1780769359,172,9760
1780769361,174,9760
1780769364,177,8736
1780769367,180,7712
1780769369,182,7712
1780769372,185,6688
1780769374,187,5664
1780769377,190,3616
1780769379,192,0
