timestamp,appl_db_keys,route_pending_keys
1780846572,179,0
1780846574,1890,4
1780846575,3614,48
1780846577,5398,619
1780846579,6623,842
1780846581,7829,1171
1780846583,9012,1350
1780846585,10180,1289
1780846587,10180,265
1780846588,10179,0
1780846590,10179,0
1780846591,10179,0
1780846593,10179,0
1780846595,10179,0
1780846596,10179,0
1780846597,10179,0
1780846599,10179,0
1780846600,10179,0
1780846602,10179,0
1780846603,10179,0
1780846604,10181,0
1780846606,10179,0
1780846607,10179,0
1780846608,10179,0
1780846610,10179,0
1780846611,10179,0
1780846612,10179,0
1780846613,10179,0
1780846615,10179,0
1780846616,10179,0
