timestamp,elapsed_seconds,route_pending_keys
1780846746,0,14929
1780846748,2,14929
1780846751,5,13905
1780846753,7,13905
1780846756,10,13905
1780846758,12,12881
1780846761,15,12881
1780846763,17,11857
1780846765,19,10833
1780846767,21,9809
1780846770,24,9809
1780846772,26,8785
1780846774,28,8785
1780846776,30,7761
1780846778,32,6737
1780846781,35,5713
1780846783,37,5713
1780846785,39,4689
1780846787,41,4689
1780846789,43,3665
1780846791,45,2641
1780846794,48,2641
1780846796,50,2641
1780846798,52,1617
1780846800,54,1617
1780846802,56,593
1780846805,59,593
1780846807,61,0
