timestamp,elapsed_seconds,route_pending_keys
1780847070,0,37952
1780847073,3,37952
1780847075,5,37952
1780847077,7,37952
1780847079,9,36928
1780847081,11,36928
1780847083,13,36928
1780847086,16,35904
1780847088,18,35904
1780847090,20,34880
1780847092,22,34880
1780847094,24,34880
1780847096,26,33856
1780847099,29,33856
1780847101,31,33856
1780847103,33,32832
1780847105,35,32832
1780847107,37,32832
1780847109,39,31808
1780847112,42,31808
1780847114,44,31808
1780847116,46,31808
1780847119,49,31808
1780847121,51,30784
1780847123,53,30784
1780847126,56,30784
1780847128,58,29760
1780847130,60,29760
1780847132,62,29760
1780847135,65,29760
1780847137,67,28736
1780847139,69,28736
1780847141,71,27712
1780847144,74,27712
1780847146,76,26688
1780847148,78,26688
1780847150,80,25664
1780847152,82,25664
1780847155,85,24640
1780847157,87,24640
1780847159,89,23616
1780847161,91,22592
1780847163,93,22592
1780847166,96,21568
1780847168,98,20544
1780847170,100,20544
1780847172,102,19520
1780847174,104,19520
1780847177,107,19520
1780847179,109,18496
1780847181,111,17472
1780847183,113,16448
1780847186,116,15424
1780847188,118,14400
1780847190,120,13376
1780847192,122,12352
1780847194,124,11328
1780847196,126,9280
1780847199,129,7232
1780847201,131,5184
1780847203,133,0
