timestamp,appl_db_keys,route_pending_keys
1780849877,179,0
1780849879,1842,0
1780849881,3681,4
1780849882,5610,2
1780849884,7182,0
1780849886,9022,1
1780849887,11042,1
1780849889,12880,1
1780849890,14796,3
1780849892,16746,1
1780849894,18620,0
1780849896,19601,3
1780849898,20790,1
1780849899,21975,1
1780849902,23285,0
1780849904,24114,2
1780849906,25004,0
1780849908,25813,0
1780849910,27211,0
1780849912,29222,2
1780849913,31201,1
1780849915,33046,3
1780849917,34962,1
1780849918,36446,1
1780849920,37876,0
1780849921,39571,1
