timestamp,appl_db_keys,route_pending_keys
1780767168,178,0
1780767172,891,2
1780767175,1400,90
1780767178,1826,1
1780767180,2261,112
1780767184,2879,367
1780767186,3212,361
1780767189,4008,49
1780767191,4827,907
1780767194,5287,284
1780767197,5797,810
1780767200,6664,1720
1780767202,7253,2316
1780767205,7688,1686
1780767207,8127,2079
1780767209,8377,2352
1780767211,8748,2739
1780767214,9010,2967
1780767216,9341,3279
1780767218,9547,3538
1780767221,10001,3994
1780767223,10182,4101
1780767226,10180,4101
1780767229,10180,3077
1780767231,10182,3077
1780767234,10180,3077
1780767236,10180,3077
1780767239,10180,2053
1780767241,10180,2053
1780767243,10182,2053
1780767246,10182,2053
1780767249,10180,2053
1780767251,10180,2053
1780767253,10180,1029
1780767256,10182,1029
1780767259,10182,1029
1780767262,10182,1029
1780767265,10182,1029
1780767268,10180,1029
1780767271,10182,1029
1780767273,10182,5
1780767275,10182,5
1780767278,10180,5
1780767281,10180,0
1780767283,10181,0
1780767285,10181,0
1780767288,10181,0
1780767290,10179,0
1780767292,10179,0
1780767295,10181,0
1780767297,10181,0
1780767300,10179,0
1780767303,10179,0
1780767305,10179,0
1780767308,10181,0
1780767310,10181,0
1780767312,10181,0
1780767314,10181,0
1780767317,10179,0
1780767319,10179,0
1780767321,10181,0
1780767324,10181,0
1780767326,10181,0
1780767329,10181,0
1780767331,10179,0
1780767333,10179,0
1780767336,10179,0
1780767338,10179,0
1780767340,10179,0
1780767343,10179,0
1780767345,10179,0
